Event,"Isle of Man Masters, 2007"
Start,2007-09-22
End,2007-09-30
Rounds,9
Website,http://www.bcmchess.co.uk/monarch2007/

Player,456,Fox,Anthony
1,0,B,Taylor,Peter P,2209,,ENG
2,=,W,Nadav,Egozi,2205,,ISR
3,=,B,Cafolla,Peter,2048,,IRL
4,1,W,Spanton,Tim R.,1982,,ENG
5,1,B,Grant,Alan,2223,,SCO
6,0,-
7,=,W,Walton,Alan J.,2223,,ENG
8,0,B,Bannink,Bernard,2271,FM,NED
9,=,W,Phillips,Roy,2271,,MRI
Total,4

Player,159,Cafolla,Peter
1,0,W,Jackson,Oliver A.,2198,,ENG
2,0,B,Jeroen,Van Den Berssalaar,2227,,NED
3,=,W,Fox,Anthony,2100,,IRL
4,=,B,Collins,Sam E.,2394,IM,IRL
5,1,W,Troyke,Doreen,2151,WFM,GER
6,=,B,Nelson,Jonathan P.,2282,,ENG
7,0,W,Egozi,Nadav,2205,,ISR
8,=,B,Weeks,Manuel,2200,FM,AUS
9,0,W,Grant,Alan,2223,,SCO
Total,3
